"Practice.code","Generic_statins","Proprietary_statins","pct_proprietary"
"A83044",18496,4737,0.203891017087763
"A83045",36978,14998,0.288556256733877
"A83046",35741,9679,0.213099955966535
"A83047",36226,17618,0.327204516752099
"A83048",18086,5462,0.231951758111092
"A83049",40375,12292,0.23339092790552
"A83050",27589,11914,0.301597347036934
"A83051",35948,10288,0.222510597802578
"A83052",24099,10956,0.312537441163885
"A83054",45309,9266,0.169784699954191
"A83055",5278,1757,0.249751243781095
"A83057",19571,7223,0.269575278047324
"A83060",7059,2224,0.239577722718949
"A83061",10050,2473,0.197476642976922
"A83066",27706,10968,0.283601385944045
"A83068",9753,2747,0.21976
"A83070",19202,8706,0.311953561702738
"A83071",20441,5995,0.226774095929793
"A83072",11713,4078,0.258248369324299
"A83073",18953,4972,0.207816091954023
"A83074",35902,14564,0.28859033804938
"A83075",33887,7541,0.18202664864343
"A83076",9391,1941,0.171284857042005
"A83603",7611,1372,0.152732939997774
"A83610",12738,2912,0.186070287539936
"A83616",11815,2873,0.195601851851852
"A83617",10986,2942,0.21122917863297
"A83618",13223,3027,0.186276923076923
"A83619",7614,2696,0.261493695441319
"A83622",11227,595,0.0503298934190492
"A83626",11482,893,0.0721616161616162
"A83627",19053,3991,0.173190418330151
"A83630",6160,928,0.130925507900677
"A83632",5795,2421,0.29466893865628
"A83634",15204,2458,0.139168837051297
"A83635",13221,3992,0.231917736594434
"A83636",25996,3059,0.105283083806574
"A83637",10140,2174,0.176547019652428
"A83638",8659,1975,0.185725032913297
"A83639",8480,2443,0.223656504623272
"A83641",13966,4426,0.240648107872988
"A83644",14715,4655,0.240320082601962
"A84002",14307,3403,0.192151326933936
"A84003",35735,7320,0.170015096968993
"A84005",37770,8626,0.185921200103457
"A84006",35585,9751,0.215082936297865
"A84007",46295,14971,0.244360656808017
"A84008",21338,4076,0.160384040292752
"A84009",39730,7828,0.164599015938433
"A84011",28360,7753,0.214687231744801
"A84013",21264,7246,0.254156436338127
"A84014",25015,4683,0.157687386355984
"A84015",13494,1299,0.0878118028797404
"A84016",15352,3218,0.173290253096392
"A84018",18945,6176,0.245850085585765
"A84020",33900,7188,0.174941588785047
"A84021",25116,9361,0.271514342895263
"A84022",34312,7755,0.184348776951054
"A84024",24435,6053,0.198537129362372
"A84025",19100,6559,0.255621809111813
"A84026",27925,6755,0.194780853517878
"A84027",11565,3219,0.21773538961039
"A84028",67667,16314,0.194258225074719
"A84029",13665,3971,0.225164436380132
"A84030",22596,9297,0.291505973097545
"A84031",25045,5554,0.181509199647047
